,timestamp,datetime,date,time,userID,appName,totalTimeForeground
0,1557279892547,2019-05-08 10:44:52.547,2019-05-08,10:44:52.547000,P0706,카카오톡,3342124
0,1557280792547,2019-05-08 10:59:52.547,2019-05-08,10:59:52.547000,P0706,카카오톡,3409923
0,1557281692547,2019-05-08 11:14:52.547,2019-05-08,11:14:52.547000,P0706,카카오톡,3411853
0,1557282592547,2019-05-08 11:29:52.547,2019-05-08,11:29:52.547000,P0706,카카오톡,3422364
0,1557283792547,2019-05-08 11:49:52.547,2019-05-08,11:49:52.547000,P0706,카카오톡,3496546
0,1557357892547,2019-05-09 08:24:52.547,2019-05-09,08:24:52.547000,P0706,카카오톡,963604
0,1557359092547,2019-05-09 08:44:52.547,2019-05-09,08:44:52.547000,P0706,카카오톡,1052636
0,1557359992547,2019-05-09 08:59:52.547,2019-05-09,08:59:52.547000,P0706,카카오톡,1364230
0,1557360892547,2019-05-09 09:14:52.547,2019-05-09,09:14:52.547000,P0706,카카오톡,1398432
0,1557362392547,2019-05-09 09:39:52.547,2019-05-09,09:39:52.547000,P0706,카카오톡,1428770
0,1557363292547,2019-05-09 09:54:52.547,2019-05-09,09:54:52.547000,P0706,카카오톡,1436038
0,1557365392547,2019-05-09 10:29:52.547,2019-05-09,10:29:52.547000,P0706,카카오톡,1459534
0,1557366292547,2019-05-09 10:44:52.547,2019-05-09,10:44:52.547000,P0706,카카오톡,1497006
0,1557367192547,2019-05-09 10:59:52.547,2019-05-09,10:59:52.547000,P0706,카카오톡,1782924
0,1557368092547,2019-05-09 11:14:52.547,2019-05-09,11:14:52.547000,P0706,카카오톡,1826056
0,1557368992547,2019-05-09 11:29:52.547,2019-05-09,11:29:52.547000,P0706,카카오톡,1937803
0,1557369892547,2019-05-09 11:44:52.547,2019-05-09,11:44:52.547000,P0706,카카오톡,1962954
0,1557370792547,2019-05-09 11:59:52.547,2019-05-09,11:59:52.547000,P0706,카카오톡,1973230
0,1557448192547,2019-05-10 09:29:52.547,2019-05-10,09:29:52.547000,P0706,카카오톡,795202
0,1557454492547,2019-05-10 11:14:52.547,2019-05-10,11:14:52.547000,P0706,카카오톡,849818
0,1557794253114,2019-05-14 09:37:33.114,2019-05-14,09:37:33.114000,P0706,카카오톡,573927
0,1557795753114,2019-05-14 10:02:33.114,2019-05-14,10:02:33.114000,P0706,카카오톡,922798
0,1557796953114,2019-05-14 10:22:33.114,2019-05-14,10:22:33.114000,P0706,카카오톡,1050080
0,1557797853114,2019-05-14 10:37:33.114,2019-05-14,10:37:33.114000,P0706,카카오톡,1066083
0,1557798753114,2019-05-14 10:52:33.114,2019-05-14,10:52:33.114000,P0706,카카오톡,1230365
0,1557799653114,2019-05-14 11:07:33.114,2019-05-14,11:07:33.114000,P0706,카카오톡,1769429
0,1557800553114,2019-05-14 11:22:33.114,2019-05-14,11:22:33.114000,P0706,카카오톡,1918251
0,1557801453114,2019-05-14 11:37:33.114,2019-05-14,11:37:33.114000,P0706,Instagram,27944
0,1557801453114,2019-05-14 11:37:33.114,2019-05-14,11:37:33.114000,P0706,카카오톡,1931544
0,1557802353114,2019-05-14 11:52:33.114,2019-05-14,11:52:33.114000,P0706,카카오톡,1934297
0,1557280415323,2019-05-08 10:53:35.323,2019-05-08,10:53:35.323000,P0707,카카오톡,5805
0,1557282215323,2019-05-08 11:23:35.323,2019-05-08,11:23:35.323000,P0707,카카오톡,44265
0,1557284315323,2019-05-08 11:58:35.323,2019-05-08,11:58:35.323000,P0707,카카오톡,46403
0,1557365015323,2019-05-09 10:23:35.323,2019-05-09,10:23:35.323000,P0707,카카오톡,33092
0,1557525815323,2019-05-11 07:03:35.323,2019-05-11,07:03:35.323000,P0707,카카오톡,8780
0,1557536315323,2019-05-11 09:58:35.323,2019-05-11,09:58:35.323000,P0707,카카오톡,92575
0,1557705515323,2019-05-13 08:58:35.323,2019-05-13,08:58:35.323000,P0707,카카오톡,15228
0,1557277093298,2019-05-08 09:58:13.298,2019-05-08,09:58:13.298000,P0708,카카오톡,15327
0,1557366493298,2019-05-09 10:48:13.298,2019-05-09,10:48:13.298000,P0708,카카오톡,115732
0,1557369793298,2019-05-09 11:43:13.298,2019-05-09,11:43:13.298000,P0708,Instagram,10668
0,1557369793298,2019-05-09 11:43:13.298,2019-05-09,11:43:13.298000,P0708,카카오톡,133281
0,1557454693298,2019-05-10 11:18:13.298,2019-05-10,11:18:13.298000,P0708,카카오톡,401675
0,1557455893298,2019-05-10 11:38:13.298,2019-05-10,11:38:13.298000,P0708,카카오톡,441948
0,1557541093298,2019-05-11 11:18:13.298,2019-05-11,11:18:13.298000,P0708,카카오톡,441869
0,1557542893298,2019-05-11 11:48:13.298,2019-05-11,11:48:13.298000,P0708,카카오톡,507380
0,1557707293298,2019-05-13 09:28:13.298,2019-05-13,09:28:13.298000,P0708,카카오톡,25845
0,1557713293298,2019-05-13 11:08:13.298,2019-05-13,11:08:13.298000,P0708,카카오톡,107418
0,1557714193298,2019-05-13 11:23:13.298,2019-05-13,11:23:13.298000,P0708,Instagram,34709
0,1557714193298,2019-05-13 11:23:13.298,2019-05-13,11:23:13.298000,P0708,카카오톡,112212
0,1557715093298,2019-05-13 11:38:13.298,2019-05-13,11:38:13.298000,P0708,카카오톡,126659
0,1557799993298,2019-05-14 11:13:13.298,2019-05-14,11:13:13.298000,P0708,카카오톡,241803
0,1557801193298,2019-05-14 11:33:13.298,2019-05-14,11:33:13.298000,P0708,카카오톡,294161
0,1557802693298,2019-05-14 11:58:13.298,2019-05-14,11:58:13.298000,P0708,카카오톡,303435
0,1557273843721,2019-05-08 09:04:03.721,2019-05-08,09:04:03.721000,P0709,Instagram,978070
0,1557273843721,2019-05-08 09:04:03.721,2019-05-08,09:04:03.721000,P0709,카카오톡,2304157
0,1557274743721,2019-05-08 09:19:03.721,2019-05-08,09:19:03.721000,P0709,카카오톡,2611515
0,1557275643721,2019-05-08 09:34:03.721,2019-05-08,09:34:03.721000,P0709,카카오톡,2642092
0,1557276543721,2019-05-08 09:49:03.721,2019-05-08,09:49:03.721000,P0709,카카오톡,2667150
0,1557278343721,2019-05-08 10:19:03.721,2019-05-08,10:19:03.721000,P0709,카카오톡,2677461
0,1557364443721,2019-05-09 10:14:03.721,2019-05-09,10:14:03.721000,P0709,카카오톡,1314788
0,1557365943721,2019-05-09 10:39:03.721,2019-05-09,10:39:03.721000,P0709,카카오톡,1349273
0,1557368343721,2019-05-09 11:19:03.721,2019-05-09,11:19:03.721000,P0709,카카오톡,1508973
0,1557369243721,2019-05-09 11:34:03.721,2019-05-09,11:34:03.721000,P0709,카카오톡,1611280
0,1557370143721,2019-05-09 11:49:03.721,2019-05-09,11:49:03.721000,P0709,카카오톡,1651575
0,1557452859718,2019-05-10 10:47:39.718,2019-05-10,10:47:39.718000,P0709,카카오톡,2577270
0,1557455559718,2019-05-10 11:32:39.718,2019-05-10,11:32:39.718000,P0709,카카오톡,2582899
0,1557543159718,2019-05-11 11:52:39.718,2019-05-11,11:52:39.718000,P0709,카카오톡,510472
0,1557705759718,2019-05-13 09:02:39.718,2019-05-13,09:02:39.718000,P0709,카카오톡,1124414
0,1557706659718,2019-05-13 09:17:39.718,2019-05-13,09:17:39.718000,P0709,카카오톡,1214754
0,1557708459718,2019-05-13 09:47:39.718,2019-05-13,09:47:39.718000,P0709,카카오톡,1313140
0,1557709359718,2019-05-13 10:02:39.718,2019-05-13,10:02:39.718000,P0709,카카오톡,1351278
0,1557710259718,2019-05-13 10:17:39.718,2019-05-13,10:17:39.718000,P0709,카카오톡,1356034
0,1557794859718,2019-05-14 09:47:39.718,2019-05-14,09:47:39.718000,P0709,카카오톡,1939788
0,1557799959718,2019-05-14 11:12:39.718,2019-05-14,11:12:39.718000,P0709,카카오톡,1974989
0,1557802359718,2019-05-14 11:52:39.718,2019-05-14,11:52:39.718000,P0709,카카오톡,2099297
0,1557279802709,2019-05-08 10:43:22.709,2019-05-08,10:43:22.709000,P0710,카카오톡,1975
0,1557283402709,2019-05-08 11:43:22.709,2019-05-08,11:43:22.709000,P0710,카카오톡,4905
0,1557359002709,2019-05-09 08:43:22.709,2019-05-09,08:43:22.709000,P0710,카카오톡,5411
0,1557364402709,2019-05-09 10:13:22.709,2019-05-09,10:13:22.709000,P0710,카카오톡,15554
0,1557368002709,2019-05-09 11:13:22.709,2019-05-09,11:13:22.709000,P0710,카카오톡,68462
0,1557368902709,2019-05-09 11:28:22.709,2019-05-09,11:28:22.709000,P0710,카카오톡,76711
0,1557447202709,2019-05-10 09:13:22.709,2019-05-10,09:13:22.709000,P0710,카카오톡,14926
0,1557450202709,2019-05-10 10:03:22.709,2019-05-10,10:03:22.709000,P0710,카카오톡,88427
0,1557451102709,2019-05-10 10:18:22.709,2019-05-10,10:18:22.709000,P0710,카카오톡,89483
0,1557452002709,2019-05-10 10:33:22.709,2019-05-10,10:33:22.709000,P0710,카카오톡,110392
0,1557452902709,2019-05-10 10:48:22.709,2019-05-10,10:48:22.709000,P0710,카카오톡,129995
0,1557525502709,2019-05-11 06:58:22.709,2019-05-11,06:58:22.709000,P0710,카카오톡,48808
0,1557538102709,2019-05-11 10:28:22.709,2019-05-11,10:28:22.709000,P0710,카카오톡,55999
0,1557540802709,2019-05-11 11:13:22.709,2019-05-11,11:13:22.709000,P0710,카카오톡,58991
0,1557617002709,2019-05-12 08:23:22.709,2019-05-12,08:23:22.709000,P0710,카카오톡,12364
0,1557627802709,2019-05-12 11:23:22.709,2019-05-12,11:23:22.709000,P0710,카카오톡,22033
0,1557628702709,2019-05-12 11:38:22.709,2019-05-12,11:38:22.709000,P0710,카카오톡,24136
0,1557711202709,2019-05-13 10:33:22.709,2019-05-13,10:33:22.709000,P0710,카카오톡,43316
