,userID,date,wakeUpTime
361,P0722,2019-05-11,15:06:10.962000
362,P0722,2019-05-12,14:16:14.560000
363,P0722,2019-05-13,11:47:49.352000
364,P0722,2019-05-14,07:26:54.401000
365,P0723,2019-05-08,09:00:36.757000
366,P0723,2019-05-09,08:30:15.939000
367,P0723,2019-05-10,10:06:41.128000
368,P0723,2019-05-11,09:49:17.116000
369,P0723,2019-05-12,11:07:36.680000
370,P0723,2019-05-13,09:07:29.239000
371,P0723,2019-05-14,08:07:21.769000
372,P0725,2019-05-08,10:24:29.716000
373,P0725,2019-05-09,09:11:22.226000
374,P0725,2019-05-10,13:08:54.581000
375,P0725,2019-05-11,06:06:42.870000
376,P0725,2019-05-12,09:11:56.344000
377,P0725,2019-05-13,10:28:57.201000
378,P0725,2019-05-14,08:53:11.539000
379,P0727,2019-05-08,09:00:08.851000
380,P0727,2019-05-09,10:01:47.313000
381,P0727,2019-05-10,13:57:05.364000
382,P0727,2019-05-11,06:34:30.922000
383,P0727,2019-05-12,09:13:25.620000
384,P0727,2019-05-13,08:52:13.370000
385,P0727,2019-05-14,10:06:30.774000
386,P0728,2019-05-08,09:01:08.616000
387,P0728,2019-05-09,08:28:51.795000
388,P0728,2019-05-10,11:19:12.688000
389,P0728,2019-05-11,11:21:21.769000
390,P0728,2019-05-12,12:00:36.825000
391,P0728,2019-05-13,08:41:14.259000
392,P0728,2019-05-14,11:56:02.639000
393,P0729,2019-05-08,09:00:05.868000
394,P0729,2019-05-09,11:20:47.804000
395,P0729,2019-05-10,12:44:00.089000
396,P0729,2019-05-11,09:36:26.025000
397,P0729,2019-05-12,10:22:48.894000
398,P0729,2019-05-13,08:48:48.380000
399,P0729,2019-05-14,09:01:27.959000
400,P1519,2019-05-16,09:47:00.990000
401,P1519,2019-05-17,07:45:13.542000
402,P1519,2019-05-18,10:06:24.194000
403,P1519,2019-05-19,10:04:54.484000
404,P1519,2019-05-20,08:22:31.064000
405,P1519,2019-05-21,08:30:59.749000
406,P1519,2019-05-22,09:01:27.055000
407,P1520,2019-05-16,11:03:56.884000
408,P1520,2019-05-17,12:50:45.602000
409,P1520,2019-05-18,13:12:31.901000
410,P1520,2019-05-19,11:11:18.611000
411,P1520,2019-05-20,09:09:53.480000
412,P1520,2019-05-21,11:04:52.140000
413,P1520,2019-05-22,10:06:17.691000
414,P1521,2019-05-16,11:13:59.950000
415,P1521,2019-05-17,08:27:02.401000
416,P1521,2019-05-18,09:19:39.429000
417,P1521,2019-05-19,06:02:43.323000
418,P1521,2019-05-20,08:55:06.106000
419,P1521,2019-05-21,12:11:20.586000
420,P1521,2019-05-22,09:03:23.170000
421,P1522,2019-05-16,10:05:43.978000
422,P1522,2019-05-17,09:29:10.894000
423,P1522,2019-05-18,07:04:59.844000
424,P1522,2019-05-19,08:23:42.819000
425,P1522,2019-05-20,06:02:00.320000
426,P1522,2019-05-21,06:26:02.543000
427,P1522,2019-05-22,07:20:59.047000
428,P1523,2019-05-16,09:43:50.197000
429,P1523,2019-05-17,10:19:54.255000
430,P1523,2019-05-18,11:33:49.362000
431,P1523,2019-05-19,11:18:23.011000
432,P1523,2019-05-20,09:50:59.697000
433,P1523,2019-05-21,10:12:59.917000
434,P1523,2019-05-22,10:09:42.576000
435,P1525,2019-05-16,09:00:42.545000
436,P1525,2019-05-17,08:16:19.878000
437,P1525,2019-05-18,10:27:16.839000
438,P1525,2019-05-19,10:04:45.167000
439,P1525,2019-05-20,08:29:53.417000
440,P1525,2019-05-21,08:30:31.184000
441,P1525,2019-05-22,09:16:28.015000
